district,school_name,project_#,description,fy_constr_start,total
01,P.S. 34 - Manhattan,DSF0000673138,Safety and Security - Safety and Security - Safety Systems,2012,263823
01,J.H.S. 56 - Manhattan,DSF0000754297,Educational Enhancements - Educational Enhancements - School Improvement and,2013,241775
01,J.H.S. 56 - Manhattan,DSF0000775532,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000
01,J.H.S. 56 - Manhattan,DSF0000775533,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000
01,J.H.S. 56 - Manhattan,DSF0000777727,Educational Enhancements - Educational Enhancements - School Improvement and,2014,73368
01,J.H.S. 60 - Manhattan,DSF0000673490,State of Good Repair - System Replacements - Floors,2011,671295
01,J.H.S. 60 - Manhattan,DSF0000777438,Reinforcing Cinder Concrete Slabs,2014,565230
01,P.S. 61 - Manhattan,DSF0000607821,State of Good Repair - System Replacements - Floors,2010,1123371
01,P.S. 61 - Manhattan,DSF0000718472,State of Good Repair - System Replacements - Parapets,2013,2099102
01,P.S. 61 - Manhattan,DSF0000718473,State of Good Repair - System Replacements - Windows,2013,3066260
01,P.S. 61 - Manhattan,DSF0000718482,State of Good Repair - System Replacements - Auditorium Upgrade,2012,2674955
01,P.S. 61 - Manhattan,DSF0000752926,State of Good Repair - System Replacements - Exterior Masonry,2013,6818875
01,P.S. 61 - Manhattan,DSF0000753096,Educational Enhancements - Educational Enhancements - Room,2013,157968
01,P.S. 63 - Manhattan,DSF0000739730,State of Good Repair - System Replacements - Parapets,2014,6364793
01,P.S. 63 - Manhattan,DSF0000762690,State of Good Repair - Building Upgrade - Flood Elimination,2014,1244078
01,P.S. 63 - Manhattan,DSF0000762692,State of Good Repair - System Replacements - Roofs,2014,1632628
01,P.S. 63 - Manhattan,DSF0000762695,State of Good Repair - System Replacements - Exterior Masonry,2014,9256191
01,P.S. 64 (OLD 71) - Manhattan,DSF0000406220,State of Good Repair - System Replacements - Auditorium Upgrade,2010,1423677
01,P.S. 110 - Manhattan,DSF0000673933,State of Good Repair - Building Upgrade - Flood Elimination,2011,808598
01,P.S. 110 - Manhattan,DSF0000740148,State of Good Repair - System Replacements - Floors,2013,641233
01,P.S. 110 - Manhattan,DSF0000785740,State of Good Repair - System Replacements - Toilets-Students,2014,71436
01,P.S. 110 - Manhattan,SCA0000024173,State of Good Repair - System Replacements - Exterior Masonry,2014,219844
01,P.S. 137 - Manhattan,DSF0000674324,State of Good Repair - System Replacements - Parapets,2010,1206127
01,P.S. 137 - Manhattan,DSF0000689648,State of Good Repair - System Replacements - Roofs,2010,475469
01,P.S. 142 - Manhattan,DSF0000674360,State of Good Repair - Building Upgrade - Elevators and Escalators,2011,465553
01,P.S. 142 - Manhattan,DSF0000674369,State of Good Repair - System Replacements - Toilets-Students,2011,2756337
