bldgid,district,boro,school,programcategory,source,geom,cd,school_district
K406,78K,K,MIDWOOD AF (MAIN),Athletic Fields,sca_cp_added_projects,,,
K406,78K,K,MIDWOOD AF (MAIN),Reinforcing Support Elements,sca_cp_added_projects,,,
K411,78K,K,LINCOLN AF,Low-Voltage Electrical Systems,sca_cp_added_projects,,,
K457,78K,K,BOYS HS AF (OLD),Heating Plant Upgrade,sca_cp_added_projects,,,
K466,78K,K,ERASMUS HALL HS AF,Heating Plant Upgrade,sca_cp_added_projects,,,
K496,78K,K,SHEEPSHEAD BAY HS AF,Athletic Fields,sca_cp_added_projects,,,
K516,78K,K,SOUTH SHORE HS AF,Athletic Fields,sca_cp_added_projects,,,
K673,14,K,P.S. 18 GYM ANNEX,Gymnasiums,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Elevators and Escalators,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Lighting Fixtures,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Lighting Fixtures,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Windows,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Domestic Piping,sca_cp_added_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Heating Plant Upgrade,sca_cp_cancelled_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Lighting Fixtures,sca_cp_cancelled_projects,,,
K801,33K,K,CENT HEADQTRS (65 COURT),Climate Control,sca_cp_added_projects,,,
K729,22,K,P.S. 207 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E6100000A7A39B97F37B52C0CC56C9D2664F4440,318,22
K799,78K,K,BUSHWICK LEADERS HS FOR ACAD EXL,Roofs,sca_cp_added_projects,0101000020E6100000EDFA04557F7B52C029666DD9DD594440,304,32
K799,78K,K,BUSHWICK LEADERS HS FOR ACAD EXL,Parapets,sca_cp_added_projects,0101000020E6100000EDFA04557F7B52C029666DD9DD594440,304,32
K799,78K,K,BUSHWICK LEADERS HS FOR ACAD EXL,Windows,sca_cp_added_projects,0101000020E6100000EDFA04557F7B52C029666DD9DD594440,304,32
K813,78K,K,DIST. OFFICE #13 (OLD 9 AX),Electrical Systems,sca_cp_added_projects,,,
K905,22,K,DISTRICT 22 ECOLOGY CENTER,Windows,sca_cp_added_projects,,,
K986,33K,K,DIV. OF INSTR.  &  INFO. TECH.,Lighting Fixtures,sca_cp_added_projects,,,
K995,22,K,LEARNING SUPPORT CENTER,Lighting Fixtures,sca_cp_added_projects,,,
K995,22,K,LEARNING SUPPORT CENTER,Heating Plant Upgrade,sca_cp_added_projects,,,
KBBY,16,K,BROOKLYN CHILDREN CENTER,Technology,sca_cp_added_projects,,,
K812,15,K,P.S. 1 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000EF94B9B49E8052C0A7783221FE524440,307,15
K842,32,K,P.S. 45 AX (OLD BS RDGWD ECC1),Ventilation,sca_cp_added_projects,0101000020E6100000E40F5CD6217A52C010E924830F584440,304,32
K848,19,K,P.S. 149 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000009DD103EE467952C0004CE6DE8C554440,305,19
K848,19,K,P.S. 149 ANNEX,Lighting Fixtures,sca_cp_added_projects,0101000020E61000009DD103EE467952C0004CE6DE8C554440,305,19
K854,23,K,P.S. 178 AX (BED STUY ECC 1),Playground Redevelopment,sca_cp_added_projects,0101000020E610000080D16674C57A52C09D78B26BF9554440,316,23
K889,17,K,P.S. 189 MINISCHOOL,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000035B3489F477B52C0A028523531554440,317,17
K889,17,K,P.S. 189 MINISCHOOL,Ventilation,sca_cp_advanced_projects,0101000020E610000035B3489F477B52C0A028523531554440,317,17
K908,15,K,P.S. 230 ANNEX,Lighting Fixtures,sca_cp_added_projects,0101000020E6100000F11D7632B27E52C0F86717B168524440,312,15
K932,78K,K,HIGH SCHOOL SUSPENSION CENTER,Student Toilets,sca_cp_added_projects,0101000020E6100000797914A3BE7852C018B74A9D02564440,305,19
K940,20,K,I.S. 30,Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000D43C51EA7C8152C0898640B214514440,310,20
M081,78M,M,MID MAN ADULT LRNG CTR (81),Heating Plant Upgrade,sca_cp_added_projects,0101000020E6100000643A74C1E27C52C073324D0C2D674440,110,3
M233,6,M,ALTERNATIVE LEARNING CENTER,Electrical Systems,sca_cp_added_projects,0101000020E61000002B7845F9B67B52C01985452FE06C4440,112,6
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M777,2,M,FIT,Domestic Piping,sca_cp_added_projects,,,
M777,2,M,FIT,Heating Plant Upgrade,sca_cp_added_projects,,,
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M777,2,M,FIT,Room Conversions/Partitioning,sca_cp_added_projects,,,
M777,2,M,FIT,Ventilation,sca_cp_added_projects,,,
M847,6,M,P.S. 178 MINISCHOOL,Low-Voltage Electrical Systems,sca_cp_added_projects,,,
M847,6,M,P.S. 178 MINISCHOOL,Low-Voltage Electrical Systems,sca_cp_cancelled_projects,,,
M848,6,M,P.S. 192 MINISCHOOL,Student Toilets,sca_cp_added_projects,0101000020E6100000490BEE8EDF7C52C0EF75EFF614694440,109,6
M859,6,M,I.S. 143 MINISCHOOL,Student Toilets,sca_cp_added_projects,0101000020E61000009ED2CAF4957B52C0B2D2968DA96C4440,112,6
M875,75M,M,P.S. 226 (FIRST PRESB CHURCH),Electrical Systems,sca_cp_added_projects,0101000020E6100000AC212825B37F52C05FADE57E135E4440,102,2
Q048,28,Q,P.S. 48,Flood Elimination,sca_cp_added_projects,0101000020E6100000C7443F1A027352C0FE9C89E5D8584440,412,28
Q342,24,Q,P.S. 81 GYM ANNEX,Gymnasiums,sca_cp_added_projects,,,
Q411,78Q,Q,BEACH CHANNEL AF,Athletic Fields,sca_cp_advanced_projects,,,
Q411,78Q,Q,BEACH CHANNEL AF,Athletic Fields,sca_cp_added_projects,,,
Q416,78Q,Q,CARDOZO AF,Athletic Fields,sca_cp_added_projects,,,
Q421,78Q,Q,SPRINGFIELD GDNS HS AF,Paved Area-Concrete,sca_cp_added_projects,,,
Q278,28,Q,PS 182 ANNEX,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E610000055759656557352C015C1DB446F5A4440,412,28
Q278,28,Q,PS 182 ANNEX,Lighting Fixtures,sca_cp_added_projects,0101000020E610000055759656557352C015C1DB446F5A4440,412,28
Q278,28,Q,PS 182 ANNEX,New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E610000055759656557352C015C1DB446F5A4440,412,28
Q441,78Q,Q,FOREST HILLS AF,Athletic Fields,sca_cp_added_projects,,,
Q441,78Q,Q,FOREST HILLS HS AF,Athletic Fields,sca_cp_cancelled_projects,,,
Q446,78Q,Q,BRYANT AF,Athletic Fields,sca_cp_added_projects,,,
Q446,78Q,Q,BRYANT HS AF,Athletic Fields,sca_cp_cancelled_projects,,,
Q488,78Q,Q,CLEVELAND AF NO. 2,Athletic Fields,sca_cp_added_projects,,,
Q567,78Q,Q,GLEN OAKS CAMPUS FACILITY,Athletic Fields,sca_cp_added_projects,,,
Q800,33Q,Q,DOE ADMINISTRATIVE / STUDENT SERVICES,Technology,sca_cp_added_projects,,,
Q801,33Q,Q,OSSS / DSF,Fire System Sprinklers,sca_cp_added_projects,,,
Q801,33Q,Q,OSSS / DSF,Low-Voltage Electrical Systems,sca_cp_added_projects,,,
Q801,33Q,Q,OSSS / DSF,Elevators and Escalators,sca_cp_added_projects,,,
Q814,28,Q,P.S. 82 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000003684EBC61A7352C045662B6599584440,412,28
Q814,28,Q,P.S. 82 ANNEX,Electrical Systems,sca_cp_cancelled_projects,0101000020E61000003684EBC61A7352C045662B6599584440,412,28
Q816,75Q,Q,P.S. 256 ANNEX,Climate Control,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Flood Elimination,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Interior Spaces,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Electrical Systems,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Gymnasium Upgrade,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Playgrounds,sca_cp_cancelled_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q816,75Q,Q,P.S. 256 ANNEX,Playground Redevelopment,sca_cp_added_projects,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,414,27
Q836,29,Q,P.S. 36 MINISCHOOL,Roofs,sca_cp_added_projects,0101000020E6100000B3C006DAE37052C0A31DA90E6D584440,412,29
R019,31,R,P.S. 19,Roofs,sca_cp_added_projects,0101000020E610000001530C22248852C052A2ED3BCB504440,501,31
R025,75R,R,P.S. 25 ANNEX (OLD 4),Heating Plant Upgrade,sca_cp_added_projects,0101000020E61000000DE4F700348F52C09C5BF80118454440,503,31
R025,75R,R,P.S. 25 ANNEX (OLD 4),Student Toilets,sca_cp_added_projects,0101000020E61000000DE4F700348F52C09C5BF80118454440,503,31
R451,78R,R,CURTIS HS AF,Athletic Fields,sca_cp_added_projects,,,
R451,78R,R,CURTIS HS AF,Athletic Fields,sca_cp_added_projects,,,
R802,31,R,P.S. 1 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E610000057567DA09F8F52C02CCE5A1C28414440,503,31
R826,31,R,P.S. 3 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E6100000B1F72B643F8E52C0022D37611F414440,503,31
R844,31,R,P.S. 36 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000008189B68AA18B52C0640CC69BB4454440,503,31
R848,31,R,P.S. 42 ANNEX,Electrical Systems,sca_cp_added_projects,0101000020E61000007FFED8BDCE8A52C0AE54650CA4464440,503,31
R848,31,R,P.S. 42 ANNEX,Lighting Fixtures,sca_cp_cancelled_projects,0101000020E61000007FFED8BDCE8A52C0AE54650CA4464440,503,31
R848,31,R,P.S. 42 ANNEX,Student Toilets,sca_cp_added_projects,0101000020E61000007FFED8BDCE8A52C0AE54650CA4464440,503,31
R884,75R,R,P.S. 373 AX (PTR COMP-BLDG J),Electrical Systems,sca_cp_added_projects,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,502,31
R885,31,R,P.S. 80 AX(PETR COMPL-BLDG D),Electrical Systems,sca_cp_added_projects,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,502,31
R886,31,R,P.S. 80 AX(PETR COMPL-BLDG C),Electrical Systems,sca_cp_added_projects,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,502,31
X143,10,X,I.S. 143,Parapets,sca_cp_added_projects,0101000020E6100000D45B73D1B37952C09C312A8D11704440,208,10
X171,9,X,P.S. 4 ANNEX (P171 ECC),Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000054E50AC5737952C0533B9B00BE6B4440,203,9
X172,9,X,P.S. 11 ANNEX (P172 ECC),Flood Elimination,sca_cp_added_projects,0101000020E61000009A897656277B52C05FFA7236D06B4440,204,9
X172,9,X,P.S. 11 ANNEX (P172 ECC),New/Retrofit Telephone/Intercom System,sca_cp_added_projects,0101000020E61000009A897656277B52C05FFA7236D06B4440,204,9
X451,78X,X,STEVENSON AF,Athletic Fields,sca_cp_cancelled_projects,,,
X451,78X,X,STEVENSON HS AF,Athletic Fields,sca_cp_added_projects,,,
X476,78X,X,KENNEDY AF,Athletic Fields,sca_cp_added_projects,,,
XADY,11,X,SAINT LUCY ELEMENTARY SCHOOL,Technology,sca_cp_added_projects,,,
M435,78M,M,MANHTN CT FOR MATH & SCI. HS,Student Toilets,sca_cp_added_projects,0101000020E6100000420FFE4BB57B52C0947B7494A4654440,111,4
M435,78M,M,MANHTN CT FOR MATH & SCI. HS,Cafeteria / Multipurpose Room Upgrade,sca_cp_added_projects,0101000020E6100000420FFE4BB57B52C0947B7494A4654440,111,4
M191,3,M,P.S. 191,Heating Plant Upgrade,sca_cp_added_projects,0101000020E610000061F24732337F52C0D145F67DC3624440,107,3
